8,24,864.86,500.95,907.81,600.97,1,-1,-1,-1
12,24,864.63,504.42,908.43,606.94,1,-1,-1,-1
13,24,864.78,504.77,908.73,607.63,1,-1,-1,-1
17,2,1065.01,518.52,1116.73,643.12,1,-1,-1,-1
22,24,889.35,508.35,931.34,607.31,1,-1,-1,-1
23,24,891.35,508.96,932.80,606.43,1,-1,-1,-1
25,24,892.78,509.71,934.34,607.35,1,-1,-1,-1
28,24,894.18,510.52,935.75,607.71,1,-1,-1,-1
29,24,894.65,510.98,936.16,607.92,1,-1,-1,-1
30,24,897.46,512.47,937.58,606.00,1,-1,-1,-1
33,24,899.46,516.34,939.00,607.86,1,-1,-1,-1
34,24,900.79,517.03,940.06,607.98,1,-1,-1,-1
35,24,901.91,517.25,941.07,608.02,1,-1,-1,-1
36,24,902.92,517.98,941.45,607.37,1,-1,-1,-1
37,24,903.13,517.55,941.66,607.12,1,-1,-1,-1
38,24,903.82,518.03,941.73,606.37,1,-1,-1,-1
38,27,1482.95,513.87,1507.05,571.98,1,-1,-1,-1
39,24,903.83,518.19,941.92,606.75,1,-1,-1,-1
39,27,1483.38,514.21,1507.37,571.92,1,-1,-1,-1
40,24,903.70,517.57,942.73,608.23,1,-1,-1,-1
40,27,1483.05,515.01,1506.49,571.19,1,-1,-1,-1
41,24,905.05,517.32,944.22,608.12,1,-1,-1,-1
42,24,905.67,517.21,945.28,608.73,1,-1,-1,-1
43,24,905.87,517.16,945.66,608.30,1,-1,-1,-1
44,24,906.48,517.13,946.52,608.13,1,-1,-1,-1
44,27,1482.97,513.51,1506.74,569.24,1,-1,-1,-1
45,24,906.89,515.79,947.94,608.73,1,-1,-1,-1
45,27,1483.53,513.21,1507.72,569.62,1,-1,-1,-1
46,24,907.88,515.94,948.90,608.29,1,-1,-1,-1
46,2,1074.43,524.28,1129.21,640.45,1,-1,-1,-1
46,27,1483.95,512.43,1508.54,569.77,1,-1,-1,-1
47,24,909.18,514.67,949.60,605.48,1,-1,-1,-1
47,2,1075.33,524.10,1129.30,638.72,1,-1,-1,-1
47,27,1484.50,511.47,1509.77,570.50,1,-1,-1,-1
48,24,911.89,514.19,952.24,604.41,1,-1,-1,-1
48,2,1076.48,524.03,1129.85,637.42,1,-1,-1,-1
48,27,1484.76,511.32,1510.03,570.38,1,-1,-1,-1
49,24,913.38,512.69,954.66,604.69,1,-1,-1,-1
49,2,1077.57,524.01,1130.71,636.95,1,-1,-1,-1
50,24,914.68,512.14,956.73,605.46,1,-1,-1,-1
51,24,915.97,511.94,957.95,605.10,1,-1,-1,-1
51,2,1078.57,523.75,1131.31,636.10,1,-1,-1,-1
52,24,918.64,512.53,960.10,604.32,1,-1,-1,-1
